"","ID","AIC_quadratic","BIC_quadratic","AIC_logistic","BIC_logistic","r_max","K","N_0"
"153",153,89.3603467754228,89.6781129421422,95.2511716356817,95.568937802401,0.0885886386126333,-100771772702.354,7.63096142122351
"154",154,111.121892628648,112.332233000624,117.5056373724,118.715977744376,0.00660732993532501,-9095959992.18152,11.51706194389
"155",155,96.6593171481476,96.4429577443688,100.168875458068,99.952516054289,0.0058906733167125,-25321652840.9358,53.5183934208481
"156",156,175.201330548316,177.461127978162,171.119191721255,173.378989151101,0.0177160988796015,-498315697676.195,7.85201149272346
"157",157,144.934364904821,146.873991503973,151.00590738504,152.945533984192,0.0125391989957301,-28586075903.8573,36.9351383381618
"158",158,69.9734196584631,70.2911858251824,77.5359006467646,77.853666813484,0.0472162504340291,-54959592264.1721,4.28654851079372
"159",159,84.5624949711589,84.8802611378783,78.2495071241329,78.5672732908522,0.152323924930411,936.702508956212,0.606631828360423
"160",160,120.998458929708,121.787357239053,123.674966712366,124.463865021711,0.00628679941728697,-13735511515.0105,22.4317221986975
"161",161,121.339424940868,120.50646281778,122.190382314016,121.357420190929,0.00576921289596143,-76883622254919.8,411.472044599693
"162",162,199.226727291547,200.81830838274,201.467959023474,203.059540114668,0.0125331318589526,-5221843198488.36,133.257978010652
"163",163,181.585012710111,183.176593801304,184.281863094019,185.873444185213,0.0147736747151395,-10690471780309.3,158.459142069172
"164",164,124.375910936884,125.164809246229,134.986158973345,135.77505728269,0.0424978124530348,2716153024940.84,47.026355550732
"165",165,129.729679671388,130.940020043364,136.697330793578,137.907671165554,0.0901362661612596,328567357436.935,17.8684272951541
"166",166,120.226046783754,120.009687379975,122.643125796431,122.426766392652,0.566598047757588,273570496028.026,566.254308832976
"167",167,63.3807678771793,62.5478057540915,59.0667589226332,58.2337967995455,0.581679303205484,6953468494.01046,16.3517325849621
"168",168,58.1135866539945,57.8972272502158,69.5112322532141,69.2948728494353,0.209888153840762,872206147.957783,27.3458794533554
"169",169,98.43936063277,97.6063985096822,107.472444889019,106.639482765931,0.525221349417502,-1227832571650.42,1037.30984233237
"170",170,88.9597533840827,88.1267912609949,93.36127518828,92.5283130651922,0.470695720734781,-322008729227.657,274.477287913791
"171",171,51.8671329291435,51.0341708060558,54.9562383646097,54.1232762415219,0.543002361488178,3496262648.34134,25.070806774827
"172",172,158.353527901542,159.142426210887,167.000449914173,167.789348223518,0.230854855840107,-510923135051.283,983.465917453342
"173",173,123.109747926266,123.898646235611,105.808093074413,106.596991383758,0.375907310130128,56195706961.5776,22.6525211359925
"174",174,106.497967691585,105.665005568497,109.798459988376,108.965497865288,0.843697487152575,-456906521213.697,237.824654994438
"175",175,98.9801569977999,98.1471948747121,97.3068054106456,96.4738432875579,1.00193519414717,-604783140147.698,51.6990232979148
"176",176,73.9183195914002,73.0853574683124,71.2596393747396,70.4266772516519,0.701952010796255,-3451011117.13358,40.8364426469161
"177",177,130.733282613693,130.516923209914,135.256575272304,135.040215868525,0.291440975069088,-983343104578.144,1048.19868380374
"178",178,75.8405891046743,75.6242297008955,70.989620840861,70.7732614370822,0.517308003918312,26269351635.1748,3.85609836111181
"179",179,72.6502844661038,72.433925062325,75.2757705777726,75.0594111739938,0.226805243116949,-9271629064.01543,43.2527079581208
"180",180,84.8331026556824,83.2708543054188,67.4062612120157,65.8440128617521,1.23926222065744,-537671830994.017,100.617313385074
"181",181,83.7684125201974,82.2061641699338,89.4217470014558,87.8594986511922,0.751782605304814,-28301844292727.3,567.883462609367
"182",182,90.0915885159003,88.5293401656367,92.2368890361626,90.674640685899,0.610310116066307,-465515072265.951,616.719775256221
"183",183,116.808077057871,116.591717654092,98.1527757337841,97.9364163300054,0.956009151117333,517561534568.136,26.4221035473386
"184",184,106.786079723222,106.569720319443,87.0436877890851,86.8273283853063,0.842963154874619,-229607725765.159,32.4933168708565
"185",185,91.0511801690024,90.8348207652237,78.5278349266514,78.3114755228726,0.656621377577183,-141678791153.057,51.7234822551614
"186",186,87.5307867324423,85.9685383821787,89.40629833409,87.8440499838264,1.9935973840553,-1411598887642.68,361.32171503115
"187",187,94.4273842854073,92.8651359351437,99.8510206422465,98.2887722919829,1.09036483585679,-1273568892795.98,2312.55032497211
"188",188,90.6692634161615,89.1070150658979,93.6264152436418,92.0641668933782,1.61337407946295,-13317444036196.8,629.928672110115
"189",189,94.134757736927,93.3017956138393,84.3837508607531,83.5507887376654,2.44817165726308,36897627280.768,61.6704340575254
"190",190,109.044064201052,108.211102077964,112.650519915639,111.817557792552,1.24161595552309,-1783758319051.68,1136.73991074221
"191",191,107.514744339632,106.681782216544,109.159287037145,108.326324914057,1.38574028251231,-1315551602218.9,481.519281805622
"192",192,71.4803071280946,69.918058777831,82.5167332748536,80.9544849245899,2.26737582381972,-5287261321539.08,670.859963680883
"193",193,112.631327741129,111.798365618041,118.126927644377,117.293965521289,1.41491512262647,-192627440953833,2163.22354236226
"194",194,98.8469497417497,98.0139876186619,104.560512317652,103.727550194564,1.89079278035863,-3593894871989.61,696.541017657524
"195",195,107.731536979137,107.515177575358,87.9989458401032,87.7825864363244,3.30167296087468,-1689567750972.67,54.5123431064509
"196",196,121.115931219986,120.899571816208,129.180420530481,128.964061126702,1.29489882582251,1141663013525.15,1489.02979775626
"197",197,124.629256459105,124.412897055326,129.14197141601,128.925612012232,1.16884632322051,-2368159044724.98,1217.31404991029
"198",198,59.8984226379503,59.0654605148625,42.4967919747082,41.6638298516204,0.000464635272043683,-7505523221.50733,1.45216435790323
"199",199,69.6308119526378,69.414452548859,71.004540912361,70.7881815085822,0.000368428643649846,-7113723382.8666,2.75024643933211
"200",200,47.4999127320336,45.0450901765132,50.9642918977791,48.5094693422587,0.000948536348597168,-37502826941.6451,35.2548689813375
"201",201,-Inf,-Inf,34.7595749031743,31.1540240578467,0.00109095584406384,-24024641688.0509,12.0294396238141
"202",202,62.2798638597683,59.8250413042478,67.6523803453559,65.1975577898355,0.000810584293812348,-18576784871.1437,334.460807823949
"203",203,43.5612822080035,41.1064596524831,62.2635080121514,59.808685456631,0.0011151035799398,-135477629655.877,118.154968129327
"204",204,74.6181313235844,74.4017719198057,63.1102275175052,62.8938681137264,0.000564492973136827,3204.92888859028,1.03622125592498
"205",205,92.6365303186638,92.420170914885,88.09500607974,87.8786466759612,0.000656969597402702,-16420794768.534,2.46765673855522
"206",206,62.0716936755031,60.5094453252395,69.90228765391,68.3400393036464,0.000723120681033333,-37213556408.8443,65.3840605814195
"207",207,56.808245667468,54.3534231119476,48.5656385456339,46.1108159901134,0.00118648041660801,-162931475469.476,19.1248181867553
"208",208,47.544236330826,45.0894137753056,59.0151882142912,56.5603656587708,0.00116293955730301,-10557188145.2181,71.1750818760888
"209",209,86.1867624970638,85.353800373976,90.6967961868041,89.8638340637163,0.000970505254114439,-592484861507.982,152.008244289977
"210",210,53.7276663984836,52.16541804822,44.1614890425584,42.5992406922948,0.000718073604994436,-9211428303.1386,1.57272631102262
"211",211,96.3664264217529,96.6841925884722,101.271354129481,101.589120296201,0.000305447243498663,-5692681928.21463,22.7041973288767
"212",212,41.1931822846858,38.7383597291654,11.9725399811016,9.51771742558112,0.00276181788531978,121149110.624268,0.235775978699446
"213",213,-Inf,-Inf,43.1691107934189,39.5635599480913,0.000821099948413135,-309034047258.633,50.6787826850983
"214",214,84.7276104529878,83.8946483299001,88.606874217916,87.7739120948282,0.000983687637793216,429580619875.986,116.748385259004
"215",215,96.0951262424392,95.2621641193515,101.002339174081,100.169377050993,0.000689363616528154,-3559520478512.22,412.635033993144
"216",216,182.255797998264,186.03355391493,204.577120483053,208.354876399719,0.00445779661840981,-9623663392.03508,36.199516775459
"217",217,151.833037987138,154.092835416985,166.939814203759,169.199611633605,0.00381215203622337,-24460861350.2223,106.722456635906
"218",218,75.8171385594616,75.6007791556829,83.5025093179376,83.2861499141588,0.0164282327174513,-5372286641.55908,63.5371547469418
"219",219,99.1724288888835,100.38276926086,116.660628149141,117.870968521117,0.0063260907996634,-13389044680.4017,78.595403038581
"220",220,-96.0827703735494,-92.7499169973245,-91.1166484182608,-87.7837950420359,1.48679201394031e-05,11.5582188674618,2.70180106738035
"221",221,112.139256255695,114.399053685541,125.089695709295,127.349493139142,0.00455074163256363,-2196522332.39434,15.3222977824498
